id,character,jis,joyo,kanken,primary_school
980,扮,1,0,0,0
981,扱,1,1,4,0
982,扶,1,1,0,0
983,批,1,1,5,6
984,承,1,1,6,5
985,技,1,1,6,5
986,抄,1,1,0,0
987,把,1,1,0,0
988,抑,1,1,3,0
989,投,1,1,8,3
990,抗,1,1,4,0
991,折,1,1,7,4
992,抜,1,1,4,0
993,択,1,1,3,0
994,披,1,1,0,0
995,抱,1,1,4,0
996,抵,1,1,4,0
997,抹,1,1,0,0
998,押,1,1,4,0
999,抽,1,1,3,0
1000,担,1,1,5,6
1001,拍,1,1,4,0
1002,拐,1,1,0,0
1003,拒,1,1,0,0
1004,拓,1,1,4,0
1005,拘,1,1,3,0
1006,拙,1,1,0,0
1007,招,1,1,6,5
1008,拝,1,1,5,6
1009,拠,1,1,4,0
1010,拡,1,1,5,6
1011,括,1,1,0,0
1012,拭,1,1,2,0
1013,拳,1,1,2,0
1014,拶,1,1,2,0
1015,拷,1,1,0,0
1016,拾,1,1,8,3
1017,持,1,1,8,3
1018,指,1,1,8,3
1019,按,1,0,0,0
1020,挑,1,1,0,0
1021,挙,1,1,7,4
1022,挟,1,1,0,0
1023,挨,1,1,2,0
1024,挫,1,1,2,0
1025,振,1,1,4,0
1026,挺,1,0,0,0
1027,挽,1,0,0,0
1028,挿,1,1,0,0
1029,捉,1,1,2,0
1030,捌,1,0,0,0
1031,捕,1,1,4,0
1032,捗,1,1,2,0
1033,捜,1,1,0,0
1034,捧,1,0,0,0
1035,捨,1,1,5,6
1036,据,1,1,0,0
1037,捲,1,0,0,0
1038,捷,1,0,0,0
1039,捺,1,0,0,0
1040,捻,1,1,2,0
1041,掃,1,1,3,0
1042,授,1,1,6,5
1043,掌,1,1,3,0
1044,排,1,1,3,0
1045,掘,1,1,4,0
1046,掛,1,1,3,0
1047,掠,1,0,0,0
1048,採,1,1,6,5
1049,探,1,1,5,6
1050,接,1,1,6,5
1051,控,1,1,3,0
1052,推,1,1,5,6
1053,掩,1,0,0,0
1054,措,1,1,3,0
1055,掬,1,0,0,0
1056,掲,1,1,3,0
1057,掴,1,0,0,0
1058,掻,1,0,0,0
1059,揃,1,0,0,0
1060,描,1,1,4,0
1061,提,1,1,6,5
1062,揖,1,0,0,0
1063,揚,1,1,3,0
1064,換,1,1,3,0
1065,握,1,1,4,0
1066,揮,1,1,5,6
1067,援,1,1,4,0
1068,揺,1,1,3,0
1069,損,1,1,6,5
1070,搬,1,1,4,0
1071,搭,1,1,0,0
1072,携,1,1,3,0
1073,搾,1,1,3,0
1074,摂,1,1,3,0
1075,摘,1,1,4,0
1076,摩,1,1,0,0
1077,摸,1,0,0,0
1078,摺,1,0,0,0
1079,撃,1,1,4,0
1080,撒,1,0,0,0
1081,撚,1,0,0,0
1082,撞,1,0,0,0
1083,撤,1,1,0,0
1084,撫,1,0,0,0
1085,播,1,0,0,0
1086,撮,1,1,3,0
1087,撰,1,0,0,0
1088,撲,1,1,0,0
1089,撹,1,0,0,0
