yojijukugo,reading,link
薤露蒿里,かいろこうり,https://www.kanjipedia.jp//kotoba/0000832100
夏雲奇峰,かうんきほう,https://www.kanjipedia.jp//kotoba/0000673300
下学上達,かがくじょうたつ,https://www.kanjipedia.jp//kotoba/0000610800
呵呵大笑,かかたいしょう,https://www.kanjipedia.jp//kotoba/0000657600
夏下冬上,かかとうじょう,https://www.kanjipedia.jp//kotoba/0000673400
家給人足,かきゅうじんそく,https://www.kanjipedia.jp//kotoba/0000677100
科挙圧巻,かきょあっかん,https://www.kanjipedia.jp//kotoba/0000670500
隔岸観火,かくがんかんか,https://www.kanjipedia.jp//kotoba/0000903800
各人各様,かくじんかくよう,https://www.kanjipedia.jp//kotoba/0000882900
廓然大公,かくぜんたいこう,https://www.kanjipedia.jp//kotoba/0000907200
格致日新,かくちにっしん,https://www.kanjipedia.jp//kotoba/0000892900
学知利行,がくちりこう,https://www.kanjipedia.jp//kotoba/0000925300
鶴髪童顔,かくはつどうがん,https://www.kanjipedia.jp//kotoba/0004933000
格物致知,かくぶつちち,https://www.kanjipedia.jp//kotoba/0000893400
鶴立企佇,かくりつきちょ,https://www.kanjipedia.jp//kotoba/0007473100
嫁鶏随鶏,かけいずいけい,https://www.kanjipedia.jp//kotoba/0000701500
家鶏野鶩,かけいやぼく,https://www.kanjipedia.jp//kotoba/0000678000
花紅柳緑,かこうりゅうりょく,https://www.kanjipedia.jp//kotoba/0000647000
河山帯礪,かざんたいれい,https://www.kanjipedia.jp//kotoba/0000661600
加持祈禱,かじきとう,https://www.kanjipedia.jp//kotoba/0000630600
家常茶飯,かじょうさはん,https://www.kanjipedia.jp//kotoba/0000678700
過剰防衛,かじょうぼうえい,https://www.kanjipedia.jp//kotoba/0000697800
画脂鏤氷,がしろうひょう,https://www.kanjipedia.jp//kotoba/0000738500
臥薪嘗胆,がしんしょうたん,https://www.kanjipedia.jp//kotoba/0000740700
雅人深致,がじんしんち,https://www.kanjipedia.jp//kotoba/0000750100
佳人薄命,かじんはくめい,https://www.kanjipedia.jp//kotoba/0000655800
嘉辰令月,かしんれいげつ,https://www.kanjipedia.jp//kotoba/0000709300
雅俗折衷,がぞくせっちゅう,https://www.kanjipedia.jp//kotoba/0000750200
画蛇添足,がだてんそく,https://www.kanjipedia.jp//kotoba/0000738800
夏虫疑氷,かちゅうぎひょう,https://www.kanjipedia.jp//kotoba/0000673700
花朝月夕,かちょうげっせき,https://www.kanjipedia.jp//kotoba/0000647900
花鳥諷詠,かちょうふうえい,https://www.kanjipedia.jp//kotoba/0000648000
花鳥風月,かちょうふうげつ,https://www.kanjipedia.jp//kotoba/0000648100
隔靴搔痒,かっかそうよう,https://www.kanjipedia.jp//kotoba/0000905000
確固不抜,かっこふばつ,https://www.kanjipedia.jp//kotoba/0000913600
活殺自在,かっさつじざい,https://www.kanjipedia.jp//kotoba/0000966200
合従連衡,ガッショウレンコウ,https://www.kanjipedia.jp//kotoba/0002343900
"然大悟
",かつぜんたいご,https://www.kanjipedia.jp//kotoba/0000983300
闊達自在,かったつじざい,https://www.kanjipedia.jp//kotoba/0000985000
活潑潑地,かっぱつはっち,https://www.kanjipedia.jp//kotoba/0000967000
我田引水,がでんいんすい,https://www.kanjipedia.jp//kotoba/0000734300
寡頭政治,かとうせいじ,https://www.kanjipedia.jp//kotoba/0000711400
家徒四壁,かとしへき,https://www.kanjipedia.jp//kotoba/0000680100
河図洛書,かとらくしょ,https://www.kanjipedia.jp//kotoba/0000662900
禍福倚伏,かふくいふく,https://www.kanjipedia.jp//kotoba/0000705600
禍福得喪,かふくとくそう,https://www.kanjipedia.jp//kotoba/0000705700
寡聞少見,かぶんしょうけん,https://www.kanjipedia.jp//kotoba/0000711800
我武者羅,がむしゃら,https://www.kanjipedia.jp//kotoba/0000734500
下陵上替,かりょうじょうたい,https://www.kanjipedia.jp//kotoba/0000612600
画竜点睛,ガリョウテンセイ,https://www.kanjipedia.jp//kotoba/0000739900
迦陵頻伽,かりょうびんが,https://www.kanjipedia.jp//kotoba/0000672000
臥竜鳳雛,がりょうほうすう,https://www.kanjipedia.jp//kotoba/0000741000
